Order,Destination,Distance
Blagodarnyy,Budonnovsk,70
Blagodarnyy,Svetlograd,68
Budonnovsk,Zelenokumsk,60
Budonnovsk,Neftekumsk,73
Zelenokumsk,Georgievsk,54
Novopavlovsk,Georgievsk,29
Novopavlovsk,Pyatigorsk,66
Pyatigorsk,Georgievsk,46
Pyatigorsk,Mineral'nyye Vody,25
Pyatigorsk,Zheleznovodsk,21
Pyatigorsk,Lermontov,12
Pyatigorsk,Yessentuki,18
Georgievsk,Mineral'nyye Vody,38
Mineral'nyye Vody,Zheleznovodsk,18
Mineral'nyye Vody,Nevinnomyssk,110
Mineral'nyye Vody,Blagodarnyy,128
Mineral'nyye Vody,Svetlograd,153
Georgievsk,Zheleznovodsk,54
Zheleznovodsk,Lermontov,19
Zheleznovodsk,Yessentuki,25
Yessentuki,Nevinnomyssk,125
Blagodarnyy,Nevinnomyssk,176
Nevinnomyssk,Stavropol,55
Nevinnomyssk,Novoaleksandrovsk,138
Novoaleksandrovsk,Izobil'nyy,49
Izobil'nyy,Mikhaylovsk,46
Izobil'nyy,Stavropol,53
Stavropol,Mikhaylovsk,15
Izobil'nyy,Svetlograd,126
Izobil'nyy,Ipatovo,124
Svetlograd,Mikhaylovsk,85
Svetlograd,Ipatovo,53
